220535 JOAO COSTA;0;133.33;102.56;108.11;95.45;86.84;118.42;84.21;100;94.44;0
220540 JOAQUIM PIRES;0;125.73;120.87;97.32;72.04;113.04;98.51;107.43;93.85;110.36;0
220545 JOCA MARQUES;0;110.64;85.11;76.04;68.67;88.46;46.91;88.89;80.72;91.46;0
220550 JOSE DE FREITAS;0;143.1;111.21;98.61;72.15;58.71;31.1;75.44;85.3;135.98;0
220551 JUAZEIRO DO PIAUI;0;108.43;91.57;122.22;73.33;77.27;38.03;57.75;98.25;127.66;0
220552 JULIO BORGES;0;94.57;63.04;102.78;125;59.79;30.43;111.59;89.47;69.79;0
220553 JUREMA;0;139.02;97.56;80;73.24;68.92;114.52;106.45;82.81;71.88;0
220554 LAGOINHA DO PIAUI;0;88.89;80.56;51.35;65.38;42.86;97.22;113.89;84;154.84;0
220555 LAGOA ALEGRE;0;142.73;135.45;136.51;103.28;109.24;90.4;83.2;103.54;82.76;0
220556 LAGOA DO BARRO DO PIAUI;0;142.86;101.3;114.75;140;107.69;81.94;93.06;118.46;120.9;0
220557 LAGOA DE SAO FRANCISCO;0;103.92;81.37;81.44;96.72;88.64;129.73;67.57;98.59;112.33;0
220558 LAGOA DO PIAUI;0;96.83;93.65;114.55;103.28;77.42;77.27;101.52;133.93;104.48;0
220559 LAGOA DO SITIO;0;101.1;63.74;56.72;139.47;144.68;70.42;69.01;92.42;105.66;0
220560 LANDRI SALES;0;92.05;67.05;88.89;81.97;123.4;94.44;91.67;128.07;88.61;0
220570 LUIS CORREIA;0;75.33;80.19;75.76;84.47;72.09;52.9;65.85;75.4;93.4;0
220580 LUZILANDIA;0;117.51;108.63;79.32;30.71;32.47;8.02;29.82;59.48;54.18;0
220585 MADEIRO;0;93.8;113.18;83.85;44.88;97.73;58.62;70.34;109.82;100.76;0
220590 MANOEL EMIDIO;0;127.5;31.25;68.89;116.95;126.87;79.45;110.96;82.67;112.33;0
220595 MARCOLANDIA;0;147.13;133.12;104.14;110.61;132.26;168.31;126.06;161.16;106.9;0
220600 MARCOS PARENTE;0;120.9;107.46;70.77;89.29;141.07;123.53;119.61;124.53;101.43;0
220605 MASSAPE DO PIAUI;0;95.56;101.11;130.38;69.33;73.13;156.82;129.55;78.87;118.37;0
220610 MATIAS OLIMPIO;0;116.76;114.59;98.47;107.14;107.95;114.53;77.65;120.39;96.47;0
220620 MIGUEL ALVES;0;109.04;86.52;105.94;87.78;55.47;53.89;69.83;97.87;76.26;0
220630 MIGUEL LEAO;0;70;125;64;133.33;100;125;81.25;118.75;78.57;0
220635 MILTON BRANDAO;0;123.66;96.77;100;108.33;85.37;110.53;110.53;132.73;97.33;0
220640 MONSENHOR GIL;0;115.86;112.41;122.58;78.17;101.36;98.46;125.38;91.79;108.46;0
220650 MONSENHOR HIPOLITO;0;82.31;65.38;89.32;82;111.65;96.15;62.5;106.1;104.82;0
220660 MONTE ALEGRE DO PIAUI;0;103.83;82.51;112.68;36.84;65.75;57.65;70;64.53;75.74;0
220665 MORRO CABECA NO TEMPO;0;141.27;146.03;91.67;125.97;60.56;34.48;125.86;84.29;81.08;0
220667 MORRO DO CHAPEU DO PIAUI;0;124.47;105.32;103.37;80.81;118.6;67.05;94.32;82.05;86.29;0
220669 MURICI DOS PORTELAS;0;124.17;90;56.56;66.32;95.1;100;112.9;100.91;57.14;0
220670 NAZARE DO PIAUI;0;123.48;89.57;117.58;71.58;63.86;111.69;112.99;101.32;96.34;0
220672 NAZARIA;0;36.43;92.14;72.3;87.07;94.77;86.67;60.61;74.21;27.33;0
220675 NOSSA SENHORA DE NAZARE;0;137.93;110.34;101.64;77.59;78.79;98.46;83.08;114.89;107.41;0
220680 NOSSA SENHORA DOS REMEDIOS;0;143.53;111.18;89.35;95.21;40.65;88.54;106.37;57.89;111.35;0
220690 NOVO ORIENTE DO PIAUI;0;115.29;72.94;72.62;73.13;143.4;100;75.32;104.29;92.86;0
220695 NOVO SANTO ANTONIO;0;189.66;162.07;106.25;33.33;173.68;173.68;247.37;115.38;104.44;0
220700 OEIRAS;0;94.02;74.33;88.58;95.47;95.95;100.89;92.24;111.4;94.43;0
220710 OLHO D\'AGUA DO PIAUI;0;75.76;100;78.57;100;22.5;29.41;100;78.57;92.5;0
220720 PADRE MARCOS;0;76.79;93.75;126.21;106.25;85.26;50;117.65;106.9;82.22;0
220730 PAES LANDIM;0;113.79;113.79;98.15;71.43;157.5;106.25;98.44;68.83;107.41;0
220735 PAJEU DO PIAUI;0;148.28;75.86;67.86;121.05;80;144;136;78.57;96.55;0
220740 PALMEIRA DO PIAUI;0;94.9;76.53;84.54;64.18;175;59.21;72.37;72.37;117.46;0
220750 PALMEIRAIS;0;59.66;74.37;73.42;49.51;89.95;58.45;68.95;83.9;63.87;0
220755 PAQUETA;0;97.73;104.55;146.67;141.18;43.59;59.52;85.71;103.23;80.95;0
220760 PARNAGUA;0;82.99;80.41;62.56;71.7;91.72;50.6;78.31;90.96;39.64;0
220770 PARNAIBA;0;94.93;92.16;90.42;83.82;94.78;74.33;76.53;66.84;63.15;0
220775 PASSAGEM FRANCA DO PIAUI;0;114.29;102.6;73.97;140.85;120.63;56.1;45.12;112.73;93.1;0
220777 PATOS DO PIAUI;0;135.21;76.06;132.35;93.06;83.33;95.92;95.92;121.43;85.96;0
220779 PAU D\'ARCO DO PIAUI;0;42.62;50.82;143.75;90.48;90.48;107.89;84.21;60.87;180.65;0
220780 PAULISTANA;0;88.92;94.6;80.24;84.91;94.01;79.82;91.13;85.5;83.48;0
220785 PAVUSSU;0;116.28;95.35;88.33;104.88;88.64;83.33;100;104.76;72.92;0
220790 PEDRO II;0;108.77;89.45;101.78;92.53;111.13;62.16;58.2;94.37;100;0
220793 PEDRO LAURENTINO;0;71.93;52.63;116.67;62.16;112;118.52;77.78;92;212;0
220795 NOVA SANTA RITA;0;103.9;138.96;70.42;64.52;128;93.1;118.97;77.42;111.76;0
220800 PICOS;0;110.83;90.11;101.88;104.32;99.4;106.4;113.17;75.7;84.1;0
220810 PIMENTEIRAS;0;61.69;99.35;91.3;41.21;92.44;79.31;101.72;72.73;44.68;0
220820 PIO IX;0;128.23;112.9;82.27;47.84;81.78;90.29;64.08;76.37;89.45;0
220830 PIRACURUCA;0;104.62;116.92;89.93;88.09;124.02;71.4;92.58;90.18;78.19;0
220840 PIRIPIRI;0;130.36;104.9;90.02;113.58;111.38;111.92;111.51;91.73;105.52;0
220850 PORTO;0;127.64;99.59;97.28;47.21;66.08;93.33;101.9;106.54;96.67;0
220855 PORTO ALEGRE DO PIAUI;0;119.15;89.36;142.11;49.09;51.43;142.86;80;78.79;92.86;0
220860 PRATA DO PIAUI;0;123.53;100;109.76;111.76;0;97.37;110.53;123.26;72.34;0
220865 QUEIMADA NOVA;0;135.78;110.09;74.77;104.65;136.36;131.18;103.23;117.71;83.18;0
220870 REDENCAO DO GURGUEIA;0.61;137.42;101.84;94.19;96.82;69.88;63.82;82.89;119.67;106.38;0
220880 REGENERACAO;0;104.07;113.08;84.23;93.08;114.18;91.1;103.2;84.67;87.55;0
220885 RIACHO FRIO;0;109.43;65.09;89.61;101.45;60.56;65.85;48.78;37.88;72.73;0
220887 RIBEIRA DO PIAUI;0;41.89;83.78;90.77;65.22;57.45;13.16;118.42;104;80;0
220890 RIBEIRO GONCALVES;0;81.82;81.82;68.25;78.81;92.86;84.82;99.11;96.67;108.77;0
